name|latitude|longitude
대구운암초등학교|35.93570075|128.5656283
홈플러스 대구점|35.8814725|128.5957711
옥산초등학교|35.88089463|128.5978735
칠성동주민센터|35.879228|128.600019
경명여자중학교|35.88072859|128.5984327
경명여자고등학교|35.88072859|128.5984327
LG전자베스트샵 침산점|35.8829555|128.5905945
대성산업(주)대성주유소|35.8820362|128.5900788
대성산업㈜대구석유가스사업부|35.8813688|128.5899238
에코주유소|35.89962075|128.5809587
SK직영강남고속주유소|35.90001368|128.5836911
오페라주유소|35.8846168|128.5975673
침산공원(A)|35.896657|128.584962
침산공원(B)|35.897221|128.5848591
국민건강공단 대구북부지사|35.887261|128.597518
SK네트웍스㈜경대주유소|35.8865315|128.5976334
침산1동주민센터|35.8903277|128.581354
칠성초등학교|35.88703349|128.5932396
화성투엠빌딩|35.8892511|128.5915207
침산중학교|35.89009204|128.5884725
기독교방송국|35.8874484|128.5984509
통일로주유소|35.880556|128.596661
정다운주유소|35.80956661|128.6191886
두산초등학교|35.83259685|128.6260882
대자연주유소|35.80837886|128.6209301
수성중학교|35.82587242|128.6072064
파동초등학교|35.82468309|128.6077313
대구장애인종합복지관|35.82695723|128.6069494
성동초등학교|35.8409043|128.6322828
패션디자인개발자원센터|35.9061485|128.6117408
한성병원|35.8762551|128.597886
대구꽃백화점|35.876907|128.5980105
북구자원봉사센터|35.8772927|128.5917892
북부소방서|35.87800191|128.5923197
롯데백화점|35.8758942|128.5961298
대구역|35.8758942|128.5961298
지하철 대구역|35.87634361|128.5972152
대성시장|35.87644946|128.6009707
범물근린공원|35.81840498|128.6433597
대명11동 치안센터 화장실|35.83961916|128.5635867
영선시장|35.85249423|128.5929864
중앙로관광버스전용주차장|35.87389536|128.5949301
반월당클래시아 2차|35.86472841|128.5948698
약령시서문공영주차장|35.8677228|128.5904892
북성로 공중화장실|35.87370397|128.5896908
대구 메디스퀘어 클래시아|35.86528491|128.5925957
늘열린성모병원|35.86210036|128.5995033
달성토성 커뮤니티센터|35.8730164|128.5797877
순종황제 어가길 쉼터|35.87383443|128.5853394
남산동커뮤니티센터|35.85983364|128.589675
에코한방웰빙체험관|35.86793848|128.5892823
향촌수제화센터|35.87285609|128.5918437
계산예가 공중화장실|35.86720633|128.5878706
센트럴시티 오피스텔|35.86982968|128.5877682
김광석길 공중화장실|35.86116116|128.6072136
김광석 스토리하우스|35.85901498|128.6056361
삼덕마루|35.86463999|128.6090451
수창공원|35.87598014|128.5841072
수창청춘맨숀|35.87539194|128.5838474
남산어린이공원|35.85825204|128.5813272
중구보건소 및 노인복지관|35.87790436|128.5833648
북성로 역사전통문화마을 기술예술융합소|35.8733028|128.5926444
메디컬스타빌딩|35.86544691|128.5827086
메디컬빌딩|35.863997|128.6005709
누네안과병원(밝은빛하이눈사옥)|35.86375138|128.6019265
국채보상운동기념공원 공영주차장|35.86833404|128.6034536
교동공영주차장|35.87372488|128.598395
김광석길 공영주차장|35.85930118|128.606415
흥국생명㈜ 대구사옥|35.8711717|128.5934479
흥국석유㈜ 동인주유소|35.87151175|128.6047619
KT대구지사(신관)|35.86968078|128.603556
케이티 에스테이트(본관)|35.86968078|128.603556
LG유플러스 대구동인사옥|35.87127753|128.6047329
MMC만경관|35.87096131|128.5904232
SC제일은행|35.87257376|128.5960719
SK텔레콤빌딩|35.86396883|128.6009458
달성공원주유소|35.87542073|128.5816412
서문시장2지구|35.86881524|128.5795331
푸른병원|35.87597039|128.5889961
향촌문화관|35.8734065|128.5941956
화성파크드림시티|35.87007647|128.6022664
남산역(3호선)|35.85668201|128.5832272
신남역(청라언덕역)(3호선)|35.86415968|128.582367
서문시장역(3호선)|35.86979356|128.5822422
달성공원역(3호선)|35.87564391|128.5820858
협성고등학교|35.83809438|128.598108
흥국생명보험㈜|35.86602903|128.594513
SK네트웍스㈜풍국주유소|35.87272385|128.6056502
비산1동 행정복지센터|35.8811712|128.5689696
비산119안전센터|35.8804537|128.5720161
서구 구민건강증진센터|35.88016031|128.5724
이현119안전센터|35.86907881|128.5441394
서부소방서|35.88187632|128.5543847
서부수도사업소|35.8651265|128.5487479
한국염색기술연구소|35.88198993|128.5441819
한국섬유개발연구원|35.86820659|128.5460932
대구의료원|35.85967414|128.5385415
한국전력 서대구지점|35.86983584|128.5705441
내당119안전센터|35.85943719|128.5552615
서구보건소|35.87232184|128.5592911
공단역|35.89180916|128.5536575
원대역|35.8877795|128.5743934
북구청역|35.88398239|128.5813653
내당4동 행정복지센터|35.86074852|128.551417
서대구우체국|35.86680233|128.5551885
비원건강증진센터|35.88688587|128.5586198
비원도서관|35.88609089|128.5692882
원고개도서관|35.88187546|128.5707951
청소년문화의집|35.8655137|128.5486315
비산4동 행정복지센터|35.86975414|128.5743068
비산5동 행정복지센터|35.88632416|128.5696427
