fname|name|addr|desc|topic|latitude|longtitude|google|naver|tripadviser|avg|data|wordCloud
tour_culture_0|동산의료원 의료선교 박물관|대구광역시 중구 달구벌대로 2029|"""대구의 몽마르트르에서 만나는 고풍스러운 옛 선교사 주택 ‣ 1910년 경 미국인 선교사 챔니스가 머물던 주택으로 현재 의료박물관으로 운영중 ‣ 담쟁이 넝쿨이 뒤덮인 벽돌 건물이 1900년대의 모습을 그대로 간직하고 있다. 당시 선교사들의 주거 양식을 살펴볼 수 있는 귀중한 문화유산이다 ‣ 1층 전시실에는 1800~1900년대 동서양 의료기기가 전시되어 있다. 2층에서 드라마 <사랑비>의 한 장면을 촬영했으나 현재는 개방하고 있지 않다 """|문화관광|35.866418514|128.585768465|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_culture_1|대구미술광장|대구광역시 달성군 가창면 헐티로 486|규모는 작지만 무척 아기자기하게 잘 꾸며져 있다. 자연과 함께 여러 가지 미술작품을 관람할 수 있다는 것이 대구미술광장만의 장점이라고 할 수 있다. 각 계절마다 느껴지는 각기 다른 광장의 모습은 대구미술광장을 찾는 또 다른 이유가 될 수 있을 것이다.|문화관광|35.755256962|128.567804711|자료 없음|자료 없음|4.5|4.5|1|wc_tour_culture_1
tour_culture_2|국립대구박물관|대구광역시 수성구 청호로 321|"""대구와 경북 지역 문화유산을 보고 체험하는 알찬 공간 ‣ 박물관 실내의 고대문화실, 중세문화실, 섬유복식실, 기획전시실과 야외의 유물 전시장, 유적공원, 토기가마전시장 등을 돌아보며 대구․경북 지역의 문화유산을 관람 ‣ 암각화 찍어보기, 탁본하기, 문화재 조각 맞추기 등 다양한 체험 프로그램을 운영"""|문화관광|35.846574428000004|128.63855528|4.2|자료 없음|4.0|4.1|1|wc_tour_culture_2
tour_culture_3|계명대학교 행소 박물관|대구광역시 달서구 달구벌대로 1095|1978년 5월 대명동 캠퍼스에서 개관하여 다양한 유적의 발굴조사와 학술대회를 개최하고 있는 곳이다. 특히 고령·성주지역의 가야시대 고분군의 발굴조사와 김천·경주 등에서 신석기시대부터 삼국시대에 이르기까지의 다양한 유적을 조사함으로써 이 지역 고대역사의 체계화와 문화 복원에 중요한 역할을 수행하고 있다. 또한 매실방에 소속되어 있는 야외의 넓은 매실농장은 교육의 장소로 사용되고 있다.|문화관광|35.854487381|128.48901122799998|4.1|자료 없음|4.0|4.05|1|wc_tour_culture_3
tour_culture_4|한국영상 박물관|대구광역시 중구 중앙대로 456-8|세계에서 제일 작은 박물관이며, 단 하나밖에 없는 유일한 비디오 카메라 박물관이다. 각 국가에서 제작된 비디오 카메라와 영상관련 기계, TV,영화필름, 영상물 콘텐츠 자료 등을 수집, 보전, 전시하고 있다. 미래 영상산업의 발전과 영상교육의 장을 만들고 영상예술의 진흥과 발전의 역할을 수행할 것이다.|문화관광|35.873639282|128.595159864|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_culture_5|송광매 기념관(송광매원)|대구광역시 동구 팔공산로 225-34|박물관과 매원으로 구성되어 잇는 기념관은 원래 권 관장이 1975년 남구 대명동에 생산도구연구소를 발족시키면서 시작됐다. 전통 씨매실 관련 자료를 비롯하여 길쌈, 도자기, 서화, 전통염색 작품, 쇠부리(야철) 각종 생산도구 및 생활자료 등 근래에는 보기 힘든 전통 수공업 용품들이 일목요연하게 정리되어 있다.|문화관광|35.997808057|128.614072593|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_culture_6|대구교육대학교 교육박물관|대구광역시 남구 중앙대로 219|박물관의 전시는 소장 유물과 교육박물관의 특성을 살린 총 4개 전시실로 구성되어 있으며 해당 전시실 사항은 아래와 같다. 제 1전시실인 초등교육역사실에는 영남지방의 선사시대부터 시작하여 역사시대까지 해당되는 석기, 청동기, 철기, 토기, 도자기 등의 역사적인 유물이 전시되어 있다. 제 2전시실인 민속전시실은 옛 선조들의 일상생활 양식과 관습의 모습을 엿볼 수 있는 각종 생활민속을 전시하는 곳으로 각종 농공구류, 일상 생활용기, 백자 및 분청사기를 비롯한 총 130여점이 전시되어 있다. 제 3전시실인 교육자료실은 조선시대의 교육자료를 비롯하여 일제강점기, 미군정기 및 60～70년대의 희귀 교과서 및 수업에 사용된 물건을 비롯한 각종 교육자료를 전시하는 곳으로 총 411여점의 전시물이 전시되어 있다. 제 4전시실인 전통문화체험실은 대구사범학교 시절과 2년제 대구교육대학에서 현재에 이르기까지의 본 대학의 역사를 살펴 볼 수 있는 교사자료를 전시하는 곳으로 앨범과 대학신문, 교지, 논문집 등 80여 점의 교사자료를 비롯하여 51점의 사진자료가 전시되어 있다.|문화관광|35.853026006|128.589801512|4.3|자료 없음|자료 없음|4.3|1|wc_tour_culture_6
tour_culture_7|대구스포츠 기념관|대구광역시 수성구 유니버시아드로 180|2002 월드컵, 2003 대구하계U대회 등 축제의 중심에 있었던 대구스타디움을 시민의 문화공간으로 활용하고, 대구시민의 자부심을 드높이기 위해 대구스포츠기념관이 설립되었다. 축구, 배구, 육상등 다양한 스포츠의 체험활동이 지원된다.|문화관광|35.829787548|128.69016091700001|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_culture_8|대구스타디움|대구광역시 수성구 유니버시아드로 180|"""2002년 한일월드컵 대회, 2003대구하계유니버시아드대회를 성공적으로 개최하였으며 2011년 세계육상선수권대회를 유치하였다. 또한 주변의 수려한 자연환경과 깨끗한 시설로 주변시민들 뿐만 아니라 타지에서도 많은 관광객이 찾아오는 대구의 새로운 명소로 떠오르고 있다. 체육시설을 개방하여 체력단련 및 휴식공간으로 활용할수 있도록 하고 있으며, 체육 및 문화예술 행사를 유치하여 시민들에게 한층 더 가까이 다가 가도록 노력하고 있다."""|문화관광|35.829787548|128.69016091700001|4.6|자료 없음|4.0|4.3|1|wc_tour_culture_8
tour_culture_9|어울아트센터|대구광역시 북구 구암로 47|1999년 북구문화예술회관으로 시작한 어울아트센터는 북구의 발전역사와 함께 해온 문화의 시작점입니다. 리듬의 음율처럼 다채로운 높낮이를 가진 아트센터에는 425명을 수용할 수 있는 공연장과 60평의 전시장이 있습니다. 지난 2015년 생활문화센터를 개소하면서 작은 공연장과 야외공연장, 작은 전시장도 새롭게 마련되었습니다. 아트센터를 둘러싼 다양한 꽃과 나무들은 사계절 마다 다른 모습으로 맞이하며, 사이사이 전시된 조각 작품과 어우러져 누구에게나 열려있는 조각공원이 됩니다. 이처럼 여러분의 어울아트센터는 전문적인 공연, 전시를 비롯해 생활문화예술을 경험할 수 있는 작지만 강한 복합문화공간으로 지역의 문화지평을 넓혀가고 있습니다.|문화관광|35.934705207|128.546646518|자료 없음|자료 없음|자료 없음|자료 없음|0|none
