fname|name|addr|desc|topic|latitude|longtitude|google|naver|tripadviser|avg|data|wordCloud
tour_nature_0|경북대학교 가로수길(백양로)|대구광역시 북구 대학로 80|"""경북대 플라타너스 가로수길에서 데이트하기 ‣ 오래된 플라타너스가 울창하게 터널을 이룬 낭만적인 산책길 ‣ 경북대학교 제1과학관과 농구장 사이, 약 220m 길이의 백양로는 드라마 사랑비에서 두 주인공이 우산을 쓰고 걷던 길이다. 하늘을 가릴 만큼 울창한 플라타너스 나무가 호젓하게 길을 터준다 """|자연/공원|35.887720188|128.607715777|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_nature_1|두류공원|대구광역시 달서구 공원순환로 7|두류공원은 1965년 공원으로 결정된 이후 1977년부터 본격적으로 개발된 도시근린공원으로서 문화, 교양, 체육시설등이 구비되어 있어 많은 시민들이 이용하는 공원으로 발전하고 있다. 두류산은 역사적 기록에 의하면 산이 둥글게 펼쳐져 있다고 하여 두리산으로 부르던 것을 지명이 한자화될때 같은 의미의 주산 또는 두류봉으로 쓰여오다가 근래에 와서 두류산으로 지칭되었다고 한다. 공원내에는 대구의 명소인 우방타워랜드, 면학장소인 두류도서관, 시민건강증진에 기여하고 있는 각종 체육시설과 시민문화의 전당인 문화예술회관이 자리잡고 있다.|자연/공원|35.850816357|128.560811148|4.4|4.35|자료 없음|4.38|1|wc_tour_nature_1
tour_nature_2|대구환경공단|대구광역시 달서구 달서대로 210|환경시대 및 쾌적한 시민생활 향상에 부응하기 위하여 2007년 7월 1일 설립. 현재 7개 하수처리장, 1개 소각장, 3개 분뇨처리장, 1개 음식물병합처리장 등 총 12개 환경기초시설을 운영하는 전문 공기업이다. 폐기물 종합관리기관으로서 다양하고 질 높은 환경행정서비스를 제공하며 재활용을 통해 자원의 지속적인 순환에 기여하고 있다. 일상생활에서 발생되는 하수, 분뇨, 생활 및 음식물 쓰레기를 효율적으로 처리하여 친환경 서비스를 제공하기 위해 책임을 다하고 있다. 또한 환경체험 학습장으로 활용할 수 있도록 다양한 볼거리를 마련하고 있다. 개인 및 소규모 단체도 견학신청시 희망에 따라 견학할 수 있는 맞춤형 프로그램을 운영하고 있다. 그리고 공단에서는 축구장, 테니스장, 인라인스케이트장 등 체육시설을 운영하고 있다. 축구장은 유료이며 기타시설은 무료다.|자연/공원|35.8224956|128.4947682|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_nature_3|수성랜드|대구광역시 수성구 용학로 35-5|1993년대에 문을 연 역사와 전통을 자랑하는 유원지 시설이며, 대구 시민의 놀이와 휴식의 대명사인 수성유원지의 핵심 시설로서 자리매김하고 있다. 새로운 시설과 최고의 서비스로 고객을 모시고 있으며, 고품격 테마파크로의 발전도 기대하고 있다.|자연/공원|35.826799189|128.612879316|자료 없음|4.37|자료 없음|4.37|1|wc_tour_nature_3
tour_nature_4|수성못유원지|대구광역시 수성구 용학로 35-5|""" 수변 산책과 분수쇼, 야경을 한 자리에서 즐기기 ‣ 둘레 2km의 수성못을 따라 바늘꽃, 연꽃, 갈대 등이 어우러진 수변 데크 로드와 울창한 왕벚나무, 버드나무 가로수길이 펼쳐진다 ‣ 밤에는 물 위에 비친 조명이 물감을 풀어 놓은 듯 아름답게 반짝인다. 하루 4회 영상음악분수가 가동되어 볼거리를 더한다 """|자연/공원|35.826799189|128.612879316|자료 없음|자료 없음|4.0|4.0|1|wc_tour_nature_4
tour_nature_5|에코테마파크 대구 숲|대구광역시 달성군 가창면 가창로 1003|"""사계절 내내 친환경 레저 체험을 즐길 수 있는 에코 테마파크 ‣ 테마정원, 체험공방, 에코어드벤처 등 자연 속 놀거리, 체험거리가 한데 모여 있다 ‣ 입구 메타세쿼이어숲에서 시작해 홍단풍길, 소나무가 우거진 피톤치드광장까지 길마다 수목이 울창하다 ‣ 유럽식 자연친화형 레포츠인 에코어드벤처. 중간 중간 농경생활사박물관, 녹차원, 동물사육장, 허브정원, 전망대 등이 있어 지루할 틈이 없다 이용 시간 - 오전 10시 ~ 오후 6시 이용 요금 - 9500원"|자연/공원|35.794506360999996|128.627057906|자료 없음|3.84|자료 없음|3.84|1|wc_tour_nature_5
tour_nature_6|비슬산군립공원|대구광역시 달성군 유가면 휴양림길 230 자연휴양림 내 해발 590m|1986년 2월 22일 달성군 군립공원으로 지정되었다. 흙산이면서도 산세가 장중하고, 대견봉과 조화봉·관기봉 사이에는 341㏊에 달하는 비슬산 자연휴양림이 있어 삼림욕과 휴식을 즐길 수 있다. 또 봄이면 고지 30만 평에 걸쳐 진달래꽃이 흐드러지게 피어 장관을 연출한다. 매년 4∼5월에 참꽃축제를 열고, 민속놀이·먹을거리 장터 등의 부대 행사를 개최한다. 그 밖에 여름에는 안개 계곡, 가을에는 단풍과 참억새, 겨울에는 얼음 동산이 유명하다. 공원 안에는 유가사(瑜伽寺)·용연사(龍淵寺)·소재사(逍災寺) 등의 고찰과 대견사지(大見寺址)가 있고, 각 사찰에는 많은 문화재가 있다. 달성공원, 달성의 측백수림, 달성 하목정 등 주변 관광지도 둘러볼 수 있다.|자연/공원|35.8224956|128.4877951|4.3|자료 없음|자료 없음|4.3|1|wc_tour_nature_6
tour_nature_7|대구수목원|대구광역시 달서구 화암로 342|""" 쓰레기 매립장이 청정 수목원으로 재탄생 ‣ 쓰레기 매립장이었던 장소를 활용해 만든 전국 최초의 도심형 수목원 ‣ 약 246,503㎡ 면적에 약초원, 야생초화원, 방향식물원, 죽림원 등 23개 테마관이 있다 ‣ 산림문화전시관에서 쓰레기 매립장 복원, 우리의 나무 문화, 신기한 식물 탐험 등을 주제로 전시가 이뤄진다 . 이용시간 - 09:00~18:00 (5~8월 08:00~19:00) 연중무휴 (단, 월요일은 일부 시설 견학 제한)"""|자연/공원|35.800689891|128.519998775|4.5|4.33|4.5|4.44|1|wc_tour_nature_7
tour_nature_8|봉무 레포츠 공원|대구광역시 동구 팔공로 50길 66|시민들의 아늑한 휴식처로 각광을 받고 있는 도심 속의 자연공원이다. 주말이면 청소년 및 각종단체에서 친목을 위한, 족구, 배구, 테니스, 사이클 등을 즐길 수 있으며, 가족단위의 나들이로도 적합하다. 어린이 놀이시설물 및 야영장, 취사장, 샤워장 등을 갖추고 있으며, 야영장은 약 150 ~ 200명 수용이 가능하다. 또한 나비생태원 및 무궁화원을 조성하여 이용자의 감상 및 참여, 관람의 기회를 제공하고 청소년들에게는 정서함양에 기여할 수 있는 공간을 마련하고 있다.|자연/공원|35.919232459|128.651719542|자료 없음|자료 없음|자료 없음|자료 없음|0|none
tour_nature_9|단산지|대구광역시 동구 팔공로 50길 66|""" 고즈넉한 수변 길 산책과 함께 수상 레포츠 즐기기 ‣ 남녀노소 누구나 걸을 수 있는 평탄한 산책길. 호수에는 수상 레포츠 체험시설이 마련되어 있다. 수상 레포츠 시설 이용 시 비용 발생 ‣ 3.5km 길이의 저수지 둘레 길에 울창한 나무가 가득해 숲속을 걷는 듯하다. 전망 벤치에 앉아 호젓하게 풍경을 감상하기 좋다. 무궁화동산에 오르면 단산지 일대 풍경이 시원하게 펼쳐진다 """|자연/공원|35.919232459|128.651719542|자료 없음|자료 없음|자료 없음|자료 없음|0|none
