name|latitude|longitude
산격1동주민센터|35.8122214|128.5228091
산격2동주민센터|35.8142773|128.5450464
산격3동주민센터|35.81255487|128.5362895
산격4동주민센터|35.8100742|128.5502339
성림효사랑 실버타운|35.8074901|128.5322212
성보재활원|35.8291236|128.5547781
이곡장미공원|35.85741363|128.514463
월성종합사회복지관|35.83156785|128.5298746
성서종합사회복지관|35.85229857|128.4988252
신당종합사회복지관|35.8538435|128.497451
월배노인복지센터|35.82175331|128.5214315
달서별빛캠프 캠핑장|35.82324257|128.5570444
달서가족문화도서관|35.81748676|128.5191877
선사유적공원|35.8095796|128.5216391
본리어린이공원|35.84056015|128.5418156
월배공원|35.81283464|128.5367433
월촌공원|35.81277938|128.5489485
도원도서관|35.80679505|128.5390595
양계농협대경지점|35.8438002|128.5802681
두류공원 스케이트장|35.84454401|128.5637896
앞산공원 공중전화3|35.84004746|128.5688897
남대구우체국|35.8506407|128.5910051
현충로역|35.845805|128.578038
이공대창업보육센터|35.84734228|128.5854322
영남대학교의료원|35.8469593|128.5858017
엔제리너스 대구대덕점|35.8349281|128.6036027
안지랑역|35.842877|128.575925
성당못역|35.835545|128.567205
롯데리아 영대병원|35.845255|128.5898909
롯데리아 대구안지랑|35.838917|128.5749968
롯데리아 대구계명|35.8547012|128.5833579
대명역|35.8404372|128.5630533
대구도시철도3호선 대봉교역|35.854911|128.6065054
대구도시철도3호선 건들바위역|35.8553522|128.599599
대구교육대평생교육원|35.8405107|128.5709779
교대역|35.8418652|128.5864711
계명대학교|35.8542803|128.5805659
ms재건병원|35.85371369|128.5901816
대명5동행정복지센터|35.8432344|128.5878291
대명3동행정복지센터|35.8523781|128.5791382
대명2동행정복지센터|35.8552846|128.5864555
대명1동행정복지센터|35.8417305|128.5735803
대명11동행정복지센터|35.83624038|128.5606341
대명10동행정복지센터|35.84002858|128.5689557
웰빙전통안마센터|35.8591786|128.5758597
영선시장|35.8521435|128.5922608
앞산베네스트|35.8348151|128.5839212
성당시장|35.850231|128.5730452
서부정류장|35.8367855|128.5577515
봉덕신시장|35.8450743|128.6032952
명덕시장|35.8450282|128.5879639
대명시장 및 대명신시장|35.8583423|128.5771583
대덕노인종합복지관|35.8361234|128.5838748
대구아동복지센터|35.8414687|128.604038
대구시청소년문화의집|35.8559167|128.5871352
이천동주민센터|35.85369579|128.599404
유가면사무소|35.8534129|128.5251887
유치곤장군기념관|35.8071988|128.5594488
음리보건지소|35.84061243|128.5531497
화원보건지소|35.84101503|128.5431658
논공읍사무소|35.7233173|128.4545652
현풍면사무소|35.6988635|128.4519976
달성군보건소|35.7745414|128.4313244
다사보건지소|35.803907|128.500813
가창보건지소|35.7303037|128.4519198
하빈보건지소|35.6938854|128.4598183
옥포보건지소|35.803907|128.500813
구지보건지소|35.6948119|128.4403309
논공시장(등록)|35.8025854|128.622956
구지시장(등록)|35.6587707|128.4135612
달성문화복지센터|35.65778707|128.4127038
성서보건지소|35.85578401|128.5011389
달서구자원봉사센터|35.81222021|128.5228075
본리종합사회복지관|35.8410174|128.5431658
달성군장애인복지관|35.8435085|128.6951977
행복울타리|35.8547435|128.619027
달성군장애인재활자립작업장|35.8155269|128.6152046
달성군노인복지관|35.871827|128.6464214
달성문화원|35.8556725|128.616975
한일우호관|35.8179961|128.6156387
달성군청소년센터|35.8721894|128.6393415
달성군민체육센터|35.8088907|128.5551508
달성군청 도서관|35.8426499|128.5523993
화원도서관|35.8559479|128.5254738
달성군청 민원실|35.8582653|128.5316115
화원읍사무소|35.8075918|128.5354904
달성군종합사회복지관|35.8558242|128.4993413
옥포면사무소|35.811678|128.5378173
장기동 행정복지센터|35.8424354|128.5959628
용산1동 행정복지센터|35.8367855|128.5577515
용산2동 행정복지센터|35.8533408|128.5997156
이곡1동 행정복지센터|35.8412884|128.5774249
이곡2동 행정복지센터|35.8438374|128.6011308
신당동 행정복지센터|35.9449107|128.5472256
월성1동 행정복지센터|35.8901384|128.5762308
월성2동 행정복지센터|35.9063022|128.6027417
진천동 행정복지센터|35.9378261|128.5455021
상인1동 행정복지센터|35.8986673|128.6169196
상인2동 행정복지센터|35.8811819|128.6089517
상인3동 행정복지센터|35.9100787|128.5762131
도원동 행정복지센터|35.8926191|128.5946639
송현1동 행정복지센터|35.89352623|128.6083117
송현2동 행정복지센터|35.8856404|128.6025896
본동 행정복지센터|35.8772404|128.6039645
달서구보건소|35.8772404|128.6039645
성서보건지소|35.8872637|128.596993
달서구자원봉사센터|35.9240928|128.5433323
본리종합사회복지관|35.9216539|128.544899
월성종합사회복지관|35.9316356|128.5461611
성서종합사회복지관|35.8468644|128.6209098
신당종합사회복지관|35.8580437|128.630552
월배노인복지센터|35.8423746|128.7243619
